Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,3.3570,3.3570,3.3570,3.3570,3.3570,3.3570,3.3570,3.3570,3.3570,3.3570,3.3570
A01,T,-1.916765E-9,-1.400475E-9,-1.510225E-9,-1.561236E-9,-1.579785E-9,-1.773007E-9,-1.800831E-9,-1.865754E-9,NMDG60/2,1.605816E+9,1.301348E-11
B01,T,-8.965512E-11,-7.419734E-11,-7.883468E-11,-7.883468E-11,-8.501779E-11,-7.419734E-11,-8.192624E-11,-8.038046E-11,NMDG60/2,6.216159E+8,1.239214E-11
C01,T,6.028534E-10,5.085610E-10,5.039236E-10,4.977405E-10,4.807370E-10,5.302019E-10,5.255645E-10,5.688463E-10,NMDG60/2,4.625248E+7,5.576869E-11
D01,T,-2.782401E-11,9.274668E-12,1.082045E-11,1.082045E-11,6.183112E-12,9.274668E-12,-3.091556E-12,-2.164089E-11,NMDG60/2,6.105926E+8,3.938118E-12
E01,T,-2.859689E-10,-1.422116E-10,-1.731271E-10,-1.746729E-10,-1.854934E-10,-2.287752E-10,-2.380498E-10,-2.658738E-10,NMDG60/2,2.380535E+8,8.793952E-12
F01,T,-4.805824E-9,-3.969558E-9,-4.094766E-9,-4.184421E-9,-4.253981E-9,-4.495122E-9,-4.623422E-9,-4.719261E-9,NMDG60/2,1.185202E+9,2.256566E-11
G01,T,-9.274668E-12,-9.274668E-12,-1.082045E-11,-4.637334E-12,-7.728890E-12,-6.183112E-12,-1.854934E-11,-1.082045E-11,NMDG60/2,8.981092E+9,1.157837E-12
H01,T,-1.256718E-9,-7.914384E-10,-8.455406E-10,-8.857308E-10,-9.151006E-10,-1.063495E-9,-1.128418E-9,-1.202615E-9,NMDG60/2,6.448540E+8,7.309751E-12
I01,T,-8.810935E-11,-5.410223E-11,-4.946490E-11,-6.337690E-11,-5.564801E-11,-7.265157E-11,-6.801423E-11,-6.028535E-11,NMDG60/2,1.274243E+9,6.873667E-12
J01,T,-1.128418E-9,-8.099877E-10,-8.393575E-10,-8.934597E-10,-9.274668E-10,-1.020213E-9,-1.061950E-9,-1.099048E-9,NMDG60/2,8.772978E+8,5.832512E-12
K01,T,-3.801068E-9,-3.331152E-9,-3.374433E-9,-3.426990E-9,-3.481092E-9,-3.567656E-9,-3.603209E-9,-3.669677E-9,NMDG60/2,4.190312E+8,9.844322E-12
L01,T,1.082045E-11,-1.236622E-11,-1.700356E-11,-1.854934E-11,-2.782401E-11,-3.400712E-11,-4.328178E-11,-6.183112E-11,NMDG60/2,5.097095E+7,NaN
M01,F,1.545778E-11,5.873957E-11,6.956001E-11,7.265157E-11,4.946490E-11,8.192624E-11,1.082045E-10,1.205707E-10,NMDG60/2,5.516124E+8,1.835162E-11
