Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.1860,4.1860,4.1860,4.1860,4.1860,4.1860,4.1860,4.1860,4.1860,4.1860,4.1860
A01,T,-2.802762E-10,-1.022001E-10,-1.083941E-10,-1.223305E-10,-1.517517E-10,-1.765275E-10,-1.935609E-10,-2.245306E-10,NMDG60/2,9.737981E+8,1.052032E-11
B01,T,-6.426221E-10,-1.517517E-10,-1.703336E-10,-1.749790E-10,-2.369185E-10,-2.771792E-10,-3.236338E-10,-3.607975E-10,NMDG60/2,5.750109E+8,3.973027E-12
C01,T,-3.840248E-10,-2.322731E-11,-4.180915E-11,-3.871218E-11,-6.503646E-11,-9.600620E-11,-8.516679E-11,-1.347184E-10,NMDG60/2,5.997569E+8,2.863208E-12
D01,T,1.362669E-10,2.167882E-11,6.193948E-12,3.096974E-12,3.096974E-11,4.026066E-11,5.264856E-11,5.729402E-11,NMDG60/2,1.078966E+7,NaN
E01,F,-2.545713E-9,-1.026647E-9,-1.096329E-9,-1.206271E-9,-1.536099E-9,-1.771469E-9,-1.920124E-9,-2.039357E-9,NMDG60/2,9.806455E+7,2.383431E-11
F01,F,-1.780760E-10,0.000000E+0,-1.858184E-11,-3.716369E-11,-6.658495E-11,-1.022001E-10,-1.114911E-10,-1.145880E-10,NMDG60/2,6.758438E+6,NaN
G01,F,-9.290922E-11,-1.238790E-10,-1.161365E-10,-1.052971E-10,-1.068456E-10,-1.068456E-10,-1.006517E-10,-9.755469E-11,NMDG60/2,1.670244E+8,6.355865E-11
H01,T,-2.632428E-11,-3.251823E-11,-2.942125E-11,-4.180915E-11,-3.406671E-11,-2.942125E-11,-2.942125E-11,-2.477579E-11,NMDG60/2,4.946570E+8,3.716430E-12
I01,T,-5.110007E-11,-6.658495E-11,-6.348796E-11,-6.503646E-11,-6.193948E-11,-5.884251E-11,-5.884251E-11,-6.348796E-11,NMDG60/2,2.356629E+8,NaN
J01,T,-2.424931E-9,-6.844313E-10,-7.386283E-10,-8.485709E-10,-1.200077E-9,-1.443190E-9,-1.621266E-9,-1.759081E-9,NMDG60/2,1.697183E+9,9.804594E-12
K01,F,-9.538680E-10,-2.369185E-10,-2.493064E-10,-2.555004E-10,-4.242854E-10,-5.171947E-10,-5.775856E-10,-6.178463E-10,NMDG60/2,3.111751E+8,9.522602E-12
L01,F,-7.432738E-11,-3.716369E-11,-3.561520E-11,-7.587586E-11,-3.251823E-11,-5.729402E-11,-2.632428E-11,-1.083941E-11,NMDG60/2,9.584752E+8,9.051348E-12
M01,F,-4.955159E-11,-5.110007E-11,-3.871218E-11,-4.800310E-11,-5.574553E-11,-4.800310E-11,-5.110007E-11,-5.419705E-11,NMDG60/2,1.016749E+8,NaN
N01,F,-3.561520E-11,-4.180915E-11,-5.110007E-11,-5.574553E-11,-6.503646E-11,-6.658495E-11,-7.277889E-11,-7.123040E-11,NMDG60/2,6.001536E+7,NaN
O01,F,-2.985483E-9,-1.495838E-9,-1.635202E-9,-1.765275E-9,-2.225176E-9,-2.451255E-9,-2.595264E-9,-2.714498E-9,NMDG60/2,5.837227E+8,1.828918E-11
P01,F,-2.084264E-9,-3.731854E-10,-4.955159E-10,-5.342281E-10,-8.206981E-10,-1.114911E-9,-1.260468E-9,-1.381250E-9,NMDG60/2,5.600524E+8,6.008892E-12
A02,T,-9.461256E-10,-2.307246E-10,-2.384670E-10,-2.477579E-10,-3.747339E-10,-4.506097E-10,-5.233886E-10,-5.822312E-10,NMDG60/2,5.915930E+8,6.696864E-12
B02,T,-1.946448E-9,-6.333312E-10,-6.673979E-10,-7.572102E-10,-1.026647E-9,-1.212465E-9,-1.350281E-9,-1.444738E-9,NMDG60/2,1.217335E+9,1.283205E-11
C02,T,-6.921737E-10,-1.099426E-10,-1.300729E-10,-1.207820E-10,-1.579457E-10,-2.167882E-10,-2.322731E-10,-2.570489E-10,NMDG60/2,8.545291E+8,6.080959E-12
D02,F,-1.138138E-9,-2.802762E-10,-2.864701E-10,-3.096974E-10,-4.320279E-10,-5.373250E-10,-5.853281E-10,-6.410736E-10,NMDG60/2,2.230569E+8,1.074439E-11
E02,F,-4.490612E-11,-3.716369E-11,-4.335764E-11,-3.406671E-11,-3.251823E-11,-4.335764E-11,-5.110007E-11,-4.026066E-11,NMDG60/2,1.269627E+8,NaN
F02,T,-1.241887E-9,-3.127944E-10,-3.437641E-10,-3.484096E-10,-4.568037E-10,-5.048068E-10,-6.178463E-10,-6.875283E-10,NMDG60/2,7.488600E+8,NaN
G02,F,-6.364282E-10,-8.671527E-11,-1.223305E-10,-1.440093E-10,-3.035034E-10,-4.258339E-10,-4.970643E-10,-5.682947E-10,NMDG60/2,1.251400E+8,3.377263E-11
H02,F,-5.483193E-9,-4.402349E-9,-4.540164E-9,-4.660946E-9,-5.048068E-9,-5.192077E-9,-5.286535E-9,-5.315956E-9,NMDG60/2,9.536464E+8,2.075960E-11
