Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,3.3080,3.3080,3.3080,3.3080,3.3080,3.3080,3.3080,3.3080,3.3080,3.3080,3.3080
A01,T,-3.576673E-10,-1.625760E-10,-1.765111E-10,-1.950912E-10,-2.245098E-10,-2.632184E-10,-2.957336E-10,-2.910885E-10,NMDG60/2,1.332903E+9,1.685591E-11
B01,T,-4.027241E-9,-2.852048E-9,-2.952691E-9,-3.093590E-9,-3.471386E-9,-3.657187E-9,-3.771764E-9,-3.798086E-9,NMDG60/2,5.568659E+8,1.500574E-11
C01,T,-2.787018E-10,-7.741716E-11,-8.361054E-11,-9.444894E-11,-1.238675E-10,-1.486410E-10,-1.672211E-10,-1.950912E-10,NMDG60/2,5.981668E+8,7.863098E-12
D01,T,-4.787478E-9,-3.136943E-9,-3.353712E-9,-3.516287E-9,-4.027241E-9,-4.247106E-9,-4.395746E-9,-4.491744E-9,NMDG60/2,4.025065E+8,1.988735E-11
E01,F,7.896551E-10,8.361054E-10,8.438471E-10,8.608789E-10,8.484921E-10,8.670722E-10,8.190736E-10,8.051385E-10,NMDG60/2,7.157830E+7,1.933513E-11
F01,F,-9.754562E-11,-8.361054E-11,-7.586882E-11,-8.670722E-11,-4.799864E-11,-3.561190E-11,-2.012846E-11,-1.548343E-11,NMDG60/2,3.126500E+8,9.536190E-12
G01,F,1.455443E-10,6.657876E-11,6.348207E-11,6.812710E-11,7.277214E-11,7.432048E-11,8.515888E-11,8.825557E-11,NMDG60/2,1.092125E+8,7.451117E-12
H01,T,-5.598809E-9,-3.960662E-9,-4.202203E-9,-4.361683E-9,-4.858701E-9,-5.092501E-9,-5.213272E-9,-5.287592E-9,NMDG60/2,7.055499E+8,2.046957E-11
I01,T,-2.413867E-9,-9.568761E-10,-1.015713E-9,-1.136484E-9,-1.446153E-9,-1.686146E-9,-1.842528E-9,-1.902914E-9,NMDG60/2,5.786525E+8,7.742766E-12
J01,T,-4.668255E-9,-2.697214E-9,-2.852048E-9,-3.061075E-9,-3.606091E-9,-3.904922E-9,-4.093820E-9,-4.230074E-9,NMDG60/2,2.042609E+9,1.536536E-11
