Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,3.3510,3.3510,3.3510,3.3510,3.3510,3.3510,3.3510,3.3510,3.3510,3.3510,3.3510
A01,T,-8.970402E-11,-8.970402E-11,-8.970402E-11,-9.434387E-11,-8.661077E-11,-7.733104E-11,-7.423780E-11,-8.970402E-11,NMDG60/2,1.065362E+9,1.174943E-11
B01,T,-1.537341E-9,-1.453824E-9,-1.460010E-9,-1.495582E-9,-1.481663E-9,-1.489396E-9,-1.501769E-9,-1.548167E-9,NMDG60/2,7.020125E+8,1.086038E-11
C01,T,-2.524085E-9,-2.380250E-9,-2.408089E-9,-2.435928E-9,-2.452941E-9,-2.473047E-9,-2.503979E-9,-2.502433E-9,NMDG60/2,2.627841E+8,1.587262E-11
D01,T,-1.418251E-9,-1.232657E-9,-1.249670E-9,-1.347107E-9,-1.325454E-9,-1.347107E-9,-1.407425E-9,-1.433718E-9,NMDG60/2,1.193583E+9,3.986260E-12
E01,T,-2.242600E-10,-1.067168E-10,-1.484756E-10,-1.562087E-10,-2.459127E-10,-1.840479E-10,-2.134337E-10,-2.273533E-10,NMDG60/2,1.733951E+7,NaN
F01,F,-5.567835E-11,-4.949187E-11,-4.021214E-11,-4.639863E-11,-5.258511E-11,-3.866552E-11,-3.711890E-11,-3.711890E-11,NMDG60/2,NaN,NaN
G01,F,-2.783918E-11,-2.474593E-11,-2.938580E-11,-2.165269E-11,-2.783918E-11,-2.783918E-11,-3.866552E-11,-4.021214E-11,NMDG60/2,NaN,NaN
H01,F,4.794525E-11,1.855945E-11,2.165269E-11,2.783918E-11,2.783918E-11,4.949187E-11,3.557228E-11,7.887767E-11,NMDG60/2,8.138006E+7,1.038545E-11
I01,T,-5.897265E-9,-5.734870E-9,-5.762709E-9,-5.779722E-9,-5.785909E-9,-5.815294E-9,-5.827668E-9,-5.838494E-9,NMDG60/2,5.452835E+8,1.710783E-11
J01,T,-4.305793E-9,-4.123291E-9,-4.101639E-9,-4.141851E-9,-4.160410E-9,-4.203716E-9,-4.206809E-9,-4.247021E-9,NMDG60/2,4.924464E+9,1.241036E-11
K01,T,-1.367213E-9,-1.347107E-9,-1.359480E-9,-1.361026E-9,-1.344014E-9,-1.334734E-9,-1.340920E-9,-1.361026E-9,NMDG60/2,6.985233E+8,1.132909E-11
L01,T,-5.258511E-11,-6.805132E-11,-7.114456E-11,-7.578443E-11,-7.733104E-11,-8.351753E-11,-9.279726E-11,-7.269118E-11,NMDG60/2,2.169957E+8,6.923199E-12
M01,T,-6.186484E-12,7.887767E-11,8.661077E-11,8.970402E-11,9.125063E-11,5.877159E-11,1.175432E-10,1.190898E-10,NMDG60/2,5.434977E+8,8.467140E-12
N01,T,-7.114456E-11,-6.650470E-11,-6.959794E-11,-6.959794E-11,-7.423780E-11,-7.269118E-11,-8.197091E-11,-7.423780E-11,NMDG60/2,1.095328E+9,4.328664E-12
O01,T,-6.387544E-10,-3.742823E-10,-4.083079E-10,-4.036680E-10,-4.330538E-10,-5.088383E-10,-5.243045E-10,-5.877159E-10,NMDG60/2,2.906476E+8,6.328096E-12
P01,T,-1.237297E-9,-8.831205E-10,-8.970401E-10,-9.465320E-10,-9.465320E-10,-1.056342E-9,-1.093461E-9,-1.147593E-9,NMDG60/2,3.719228E+8,5.867526E-12
A02,T,-2.613789E-9,-2.329211E-9,-2.310652E-9,-2.321478E-9,-2.355504E-9,-2.403449E-9,-2.429742E-9,-2.471500E-9,NMDG60/2,8.476500E+8,6.322373E-12
B02,T,-2.626162E-9,-2.550378E-9,-2.568937E-9,-2.570484E-9,-2.564297E-9,-2.621522E-9,-2.623069E-9,-2.655548E-9,NMDG60/2,4.668381E+8,1.186904E-11
C02,T,-1.568274E-9,-1.464650E-9,-1.478570E-9,-1.481663E-9,-1.477023E-9,-1.458463E-9,-1.424438E-9,-1.534248E-9,NMDG60/2,4.755347E+8,3.129373E-11
D02,F,-1.190898E-10,-7.578443E-11,-7.423780E-11,-8.042429E-11,-1.314628E-10,-9.434387E-11,-8.661077E-11,-8.815739E-11,NMDG60/2,7.668619E+8,4.168231E-12
E02,F,-3.433498E-10,1.964209E-10,1.933276E-10,1.794080E-10,7.114456E-11,9.743711E-11,4.949187E-11,-5.413173E-11,NMDG60/2,1.667706E+7,NaN
F02,F,-1.701283E-11,-9.171462E-10,-9.341590E-10,-9.233327E-10,-9.155996E-10,-7.300051E-10,-5.985423E-10,-3.758289E-10,NMDG60/2,2.807361E+7,1.000000E-12
G02,F,-5.722497E-11,-5.877159E-11,-6.186483E-11,-5.567835E-11,-5.722497E-11,-5.567835E-11,-5.877159E-11,-5.877159E-11,NMDG60/2,NaN,NaN
