Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,3.357,3.357,3.357,3.357,3.357,3.357,3.357,3.357,3.357,3.357,3.357
A01,T,-1.92E-09,-1.40E-09,-1.51E-09,-1.56E-09,-1.58E-09,-1.77E-09,-1.80E-09,-1.87E-09,NMDG60/2,1.61E+09,1.30E-11
B01,T,-8.97E-11,-7.42E-11,-7.88E-11,-7.88E-11,-8.50E-11,-7.42E-11,-8.19E-11,-8.04E-11,NMDG60/2,6.22E+08,1.24E-11
C01,T,6.03E-10,5.09E-10,5.04E-10,4.98E-10,4.81E-10,5.30E-10,5.26E-10,5.69E-10,NMDG60/2,4.63E+07,5.58E-11
D01,T,-2.78E-11,9.27E-12,1.08E-11,1.08E-11,6.18E-12,9.27E-12,-3.09E-12,-2.16E-11,NMDG60/2,6.11E+08,3.94E-12
E01,T,-2.86E-10,-1.42E-10,-1.73E-10,-1.75E-10,-1.85E-10,-2.29E-10,-2.38E-10,-2.66E-10,NMDG60/2,2.38E+08,8.79E-12
F01,T,-4.81E-09,-3.97E-09,-4.09E-09,-4.18E-09,-4.25E-09,-4.50E-09,-4.62E-09,-4.72E-09,NMDG60/2,1.19E+09,2.26E-11
G01,T,-9.27E-12,-9.27E-12,-1.08E-11,-4.64E-12,-7.73E-12,-6.18E-12,-1.85E-11,-1.08E-11,NMDG60/2,8.98E+09,1.16E-12
H01,T,-1.26E-09,-7.91E-10,-8.46E-10,-8.86E-10,-9.15E-10,-1.06E-09,-1.13E-09,-1.20E-09,NMDG60/2,6.45E+08,7.31E-12
I01,T,-8.81E-11,-5.41E-11,-4.95E-11,-6.34E-11,-5.56E-11,-7.27E-11,-6.80E-11,-6.03E-11,NMDG60/2,1.27E+09,6.87E-12
J01,T,-1.13E-09,-8.10E-10,-8.39E-10,-8.93E-10,-9.27E-10,-1.02E-09,-1.06E-09,-1.10E-09,NMDG60/2,8.77E+08,5.83E-12
K01,T,-3.80E-09,-3.33E-09,-3.37E-09,-3.43E-09,-3.48E-09,-3.57E-09,-3.60E-09,-3.67E-09,NMDG60/2,4.19E+08,9.84E-12
L01,T,1.08E-11,-1.24E-11,-1.70E-11,-1.85E-11,-2.78E-11,-3.40E-11,-4.33E-11,-6.18E-11,NMDG60/2,5.10E+07,NaN
M01,F,1.55E-11,5.87E-11,6.96E-11,7.27E-11,4.95E-11,8.19E-11,1.08E-10,1.21E-10,NMDG60/2,5.52E+08,1.84E-11
N01,F,1.16E-10,2.13E-10,1.81E-10,1.87E-10,1.64E-10,1.59E-10,1.84E-10,1.92E-10,NMDG60/2,1.40E+08,1.02E-11
O01,F,-1.14E-10,-1.00E-10,-1.02E-10,-1.07E-10,-1.21E-10,-1.16E-10,-1.25E-10,-1.17E-10,NMDG60/2,2.24E+08,1.94E-11
P01,T,-2.94E-09,-2.81E-09,-2.67E-09,-2.62E-09,-2.72E-09,-2.68E-09,-2.74E-09,-2.71E-09,NMDG60/2,6.91E+08,7.30E-12
A02,T,-1.02E-09,-7.62E-10,-7.98E-10,-8.21E-10,-8.55E-10,-8.95E-10,-9.51E-10,-9.71E-10,NMDG60/2,5.54E+08,8.30E-12
B02,T,-8.16E-10,-5.33E-10,-5.67E-10,-5.90E-10,-6.26E-10,-7.06E-10,-7.65E-10,-8.18E-10,NMDG60/2,5.16E+08,1.23E-11
C02,T,-1.63E-09,-1.14E-09,-1.15E-09,-1.17E-09,-1.21E-09,-1.33E-09,-1.37E-09,-1.46E-09,NMDG60/2,1.53E+09,1.64E-11
D02,T,-5.56E-11,-2.63E-11,-2.94E-11,-3.56E-11,-3.25E-11,-3.25E-11,-4.48E-11,-4.33E-11,NMDG60/2,1.09E+10,2.44E-12
E02,T,-1.32E-09,-5.90E-10,-6.20E-10,-7.22E-10,-6.99E-10,-9.03E-10,-1.02E-09,-1.20E-09,NMDG60/2,5.62E+08,1.16E-11
F02,T,-2.98E-09,-1.88E-09,-1.90E-09,-1.95E-09,-2.03E-09,-2.24E-09,-2.34E-09,-2.55E-09,NMDG60/2,3.63E+09,1.67E-11
G02,T,-1.59E-10,-1.41E-10,-1.42E-10,-1.31E-10,-1.81E-10,-1.65E-10,-1.73E-10,-1.72E-10,NMDG60/2,7.89E+08,1.20E-11
H02,T,-9.85E-10,-7.67E-10,-8.46E-10,-8.46E-10,-8.36E-10,-8.93E-10,-9.04E-10,-9.29E-10,NMDG60/2,5.08E+08,7.67E-12
I02,T,-6.14E-10,-1.92E-10,-2.10E-10,-2.38E-10,-2.66E-10,-3.34E-10,-3.86E-10,-4.84E-10,NMDG60/2,1.49E+09,1.14E-11
J02,T,-1.19E-09,-8.02E-10,-8.52E-10,-8.83E-10,-9.01E-10,-1.01E-09,-1.08E-09,-1.15E-09,NMDG60/2,7.29E+08,1.62E-11
K02,T,-6.03E-11,-7.88E-11,-7.73E-11,-8.04E-11,-8.50E-11,-8.81E-11,-8.81E-11,-8.50E-11,NMDG60/2,2.36E+08,NaN
L02,F,4.64E-12,-3.40E-11,-2.32E-11,-1.55E-11,-2.01E-11,0.00E+00,1.24E-11,3.71E-11,NMDG60/2,1.83E+07,NaN
M02,F,-8.35E-11,-8.81E-11,-1.08E-10,-1.25E-10,-1.08E-10,-1.28E-10,-1.19E-10,-1.10E-10,NMDG60/2,2.87E+08,1.23E-11
N02,F,8.08E-10,9.07E-10,8.76E-10,8.84E-10,8.12E-10,8.49E-10,8.46E-10,8.47E-10,NMDG60/2,8.30E+08,7.86E-12
O02,T,-3.08E-10,-2.61E-10,-2.23E-10,-2.38E-10,-2.61E-10,-2.84E-10,-2.94E-10,-2.95E-10,NMDG60/2,1.85E+09,1.40E-11
P02,T,-6.96E-11,-9.27E-11,-1.17E-10,-1.28E-10,-1.62E-10,-1.72E-10,-1.67E-10,-2.13E-10,NMDG60/2,4.37E+08,9.37E-12
A03,T,-2.84E-10,-6.96E-11,-6.34E-11,-8.50E-11,-1.00E-10,-1.38E-10,-1.61E-10,-2.29E-10,NMDG60/2,5.19E+08,1.23E-11
B03,T,-2.20E-09,-1.98E-09,-2.01E-09,-2.02E-09,-2.05E-09,-2.12E-09,-2.13E-09,-2.18E-09,NMDG60/2,6.49E+08,1.09E-11
C03,T,-6.03E-11,-4.95E-11,-4.17E-11,-4.48E-11,-5.26E-11,-6.65E-11,-7.11E-11,-6.49E-11,NMDG60/2,1.96E+09,1.14E-11
D03,T,-4.70E-10,-1.61E-10,-2.07E-10,-1.95E-10,-2.21E-10,-3.05E-10,-3.35E-10,-3.94E-10,NMDG60/2,5.30E+08,8.31E-12
E03,T,-1.92E-10,-1.81E-10,-1.81E-10,-1.76E-10,-1.72E-10,-1.75E-10,-1.68E-10,-1.45E-10,NMDG60/2,1.25E+08,NaN
F03,T,-9.58E-11,-7.42E-11,-8.19E-11,-7.27E-11,-7.88E-11,-8.35E-11,-8.19E-11,-7.57E-11,NMDG60/2,3.52E+09,1.59E-11
G03,T,-1.86E-09,-1.44E-09,-1.50E-09,-1.52E-09,-1.56E-09,-1.67E-09,-1.73E-09,-1.78E-09,NMDG60/2,1.25E+09,9.68E-12
H03,T,-1.39E-11,-3.71E-11,-3.71E-11,-2.47E-11,-2.47E-11,-3.25E-11,-2.01E-11,-2.47E-11,NMDG60/2,1.47E+08,NaN
I03,T,-1.34E-09,-7.85E-10,-8.50E-10,-9.03E-10,-9.52E-10,-1.08E-09,-1.15E-09,-1.27E-09,NMDG60/2,1.07E+09,7.27E-12
J03,T,-2.29E-09,-1.61E-09,-1.68E-09,-1.76E-09,-1.84E-09,-2.01E-09,-2.08E-09,-2.19E-09,NMDG60/2,1.51E+09,1.52E-11
K03,T,-3.57E-09,-2.81E-09,-2.90E-09,-3.00E-09,-3.03E-09,-3.26E-09,-3.35E-09,-3.51E-09,NMDG60/2,8.56E+09,2.66E-11
L03,F,5.56E-11,1.30E-10,1.59E-10,3.77E-10,1.14E-10,1.28E-10,1.47E-10,1.44E-10,NMDG60/2,4.01E+08,1.17E-11
M03,T,-6.63E-10,-4.51E-10,-4.67E-10,-4.92E-10,-4.76E-10,-5.81E-10,-6.03E-10,-6.43E-10,NMDG60/2,5.00E+08,2.57E-12
N03,F,-5.01E-09,-5.01E-09,-5.01E-09,-5.01E-09,-5.01E-09,-5.01E-09,-5.01E-09,-5.01E-09,NMDG60/2,5.88E+06,NaN
O03,T,3.01E-10,2.69E-10,2.67E-10,2.84E-10,2.78E-10,2.83E-10,2.83E-10,2.97E-10,NMDG60/2,9.45E+07,8.89E-11
P03,T,-2.22E-09,-1.62E-09,-1.67E-09,-1.79E-09,-1.79E-09,-1.97E-09,-2.05E-09,-2.12E-09,NMDG60/2,5.29E+08,1.53E-11
A04,T,-2.51E-09,-1.07E-09,-1.37E-09,-1.45E-09,-1.54E-09,-1.82E-09,-2.02E-09,-2.30E-09,NMDG60/2,1.33E+09,1.26E-11
B04,T,-1.70E-11,-3.40E-11,-3.56E-11,-2.32E-11,-4.64E-11,-2.01E-11,0.00E+00,4.64E-12,NMDG60/2,1.31E+08,8.92E-12
C04,T,-7.40E-10,-3.94E-10,-4.17E-10,-4.30E-10,-4.62E-10,-5.49E-10,-6.06E-10,-6.88E-10,NMDG60/2,2.21E+10,1.42E-11
D04,T,-1.62E-09,-5.64E-10,-6.38E-10,-6.76E-10,-7.16E-10,-9.20E-10,-1.06E-09,-1.34E-09,NMDG60/2,1.54E+09,1.04E-11
E04,T,-2.63E-09,-1.09E-09,-1.20E-09,-1.35E-09,-1.38E-09,-1.72E-09,-1.95E-09,-2.35E-09,NMDG60/2,2.06E+09,9.26E-12
F04,T,-1.19E-10,-1.70E-11,-3.71E-11,-3.56E-11,-3.09E-11,-6.03E-11,-6.03E-11,-8.19E-11,NMDG60/2,3.31E+08,5.45E-12
G04,T,-9.27E-12,-1.55E-11,-1.39E-11,-9.27E-12,-9.27E-12,-1.24E-11,-6.18E-12,-1.08E-11,NMDG60/2,1.44E+08,1.49E-11
H04,T,-2.22E-09,-1.55E-09,-1.63E-09,-1.69E-09,-1.73E-09,-1.93E-09,-2.01E-09,-2.16E-09,NMDG60/2,3.92E+09,1.83E-11
I04,T,-1.77E-09,-8.04E-10,-8.76E-10,-9.63E-10,-9.85E-10,-1.21E-09,-1.36E-09,-1.61E-09,NMDG60/2,1.50E+10,1.83E-11
J04,T,-9.20E-10,-5.55E-10,-6.24E-10,-6.51E-10,-6.38E-10,-7.42E-10,-8.44E-10,-8.87E-10,NMDG60/2,1.69E+09,7.35E-12
K04,T,-2.29E-09,-1.08E-09,-1.11E-09,-1.18E-09,-1.27E-09,-1.51E-09,-1.65E-09,-2.02E-09,NMDG60/2,7.69E+08,1.18E-11
L04,T,-1.82E-09,-7.33E-10,-7.82E-10,-8.07E-10,-9.20E-10,-1.14E-09,-1.31E-09,-1.54E-09,NMDG60/2,2.47E+09,1.29E-11
M04,T,-2.60E-09,-2.40E-09,-2.42E-09,-2.45E-09,-2.47E-09,-2.53E-09,-2.55E-09,-2.57E-09,NMDG60/2,7.15E+08,3.16E-11
N04,T,1.56E-10,1.81E-10,1.75E-10,1.70E-10,1.79E-10,1.98E-10,2.01E-10,1.93E-10,NMDG60/2,5.34E+08,4.30E-12
O04,T,-3.15E-09,-3.10E-09,-3.11E-09,-3.11E-09,-3.07E-09,-3.12E-09,-3.10E-09,-3.12E-09,NMDG60/2,2.71E+08,1.57E-11
P04,F,1.18E-09,1.26E-09,1.25E-09,1.26E-09,1.17E-09,1.12E-09,1.02E-09,9.10E-10,NMDG60/2,2.37E+08,4.43E-12
A05,T,-4.76E-10,-2.83E-10,-2.97E-10,-2.98E-10,-3.11E-10,-3.60E-10,-3.83E-10,-4.07E-10,NMDG60/2,1.71E+09,4.62E-12
B05,T,-3.14E-10,-1.19E-10,-1.28E-10,-1.50E-10,-1.50E-10,-1.95E-10,-1.85E-10,-2.74E-10,NMDG60/2,8.74E+08,6.86E-12
C05,T,-3.47E-09,-2.02E-09,-2.21E-09,-2.28E-09,-2.43E-09,-2.77E-09,-3.00E-09,-3.31E-09,NMDG60/2,1.31E+10,1.45E-11
D05,T,-3.09E-12,-1.55E-12,3.09E-12,-3.09E-12,-6.18E-12,-1.55E-12,-1.55E-12,-1.24E-11,NMDG60/2,2.44E+09,NaN
E05,T,-9.74E-11,-7.27E-11,-7.57E-11,-6.49E-11,-7.27E-11,-6.65E-11,-8.50E-11,-8.35E-11,NMDG60/2,9.11E+08,5.08E-12
F05,T,-4.22E-10,-1.84E-10,-1.95E-10,-2.18E-10,-2.21E-10,-2.66E-10,-3.06E-10,-3.86E-10,NMDG60/2,2.01E+09,6.05E-12
G05,T,-1.13E-10,-7.27E-11,-7.11E-11,-6.96E-11,-7.88E-11,-8.50E-11,-1.02E-10,-1.07E-10,NMDG60/2,9.95E+09,1.47E-11
H05,T,-1.00E-10,-9.43E-11,-9.89E-11,-8.50E-11,-1.07E-10,-9.58E-11,-9.27E-11,-1.02E-10,NMDG60/2,1.20E+10,1.13E-11
I05,T,-1.28E-10,-1.55E-11,-2.32E-11,-2.47E-11,-4.17E-11,-3.40E-11,-7.42E-11,-1.02E-10,NMDG60/2,3.95E+09,1.12E-11
J05,T,-3.68E-10,-1.34E-10,-1.48E-10,-1.76E-10,-1.79E-10,-2.12E-10,-2.52E-10,-3.12E-10,NMDG60/2,5.50E+08,5.84E-12
